"ï..URI";"Vase.Number";"Fabric";"Technique";"Sub.Technique";"Shape.Name";"Provenance";"Date";"Inscriptions";"Attributed.To";"Decoration";"Collection.Record";"Publication.Record";"Inscriptions.II";"Measurements";"Volume";"Weight";"Restorations";"Ornament";"Technical.Observations"
"<a href=http://www.beazley.ox.ac.uk/record/02BA778C-5BC3-4308-8C0D-117CF5428BE6 target=_blank>http://www.beazley.ox.ac.uk/record/02BA778C-5BC3-4308-8C0D-117CF5428BE6</a>";202969;"ATHENIAN";"RED-FIGURE";"";"KRATER, COLUMN";"";"-500 to -450";"";"SYRISKOS P by BEAZLEY";"A: ZEUS WITH PHIALE AND HERA, BOTH SEATED WITH SCEPTRE, NIKE POURING WINE FROM OINOCHOE, HERMES | B: WOMAN BETWEEN DRAPED YOUTHS WITH STAFFS";"New York (NY), market, Christie's | New York (NY), private | New York (NY), I. Woodner";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 260.15, 1640, 537.13 | Berard, C. (ed.), Images et societe en Grece ancienne, L'iconographie comme methode d'analyse, Cahiers d'Archeologie Romande 36 (Lausanne, 1987): 62, FIG.4 (A) | Berard, C., L'Image de l'autre et le Heros Etranger, Sciences et Racisme (Lausanne, 1986): 62, FIG.4 (A) | Boardman, J., Athenian Red Figure Vases (London, 1975): FIG.202 (A) | Burn, L., and Glynn, R., Beazley Addenda (Oxford, 1982): 101 | Carpenter, T.H., with Mannack, T., and Mendonca, M., Beazley Addenda, 2nd edition (Oxford, 1989): 204 | Christie, Manson and Woods, sale catalogue: 4.6.1999, 17, NO.19 (COLOUR OF A) | Lexicon Iconographicum Mythologiae Classicae: IV, PL.417, HERA 222 (A) | Schefold, K., Die Gottersage in der klassischen und hellenistischen Kunst (Munich, 1981): 219, FIG.300 (A) | Thone, C., Ikonographische Studien zu Nike im 5.Jh.v.Chr., Untersuchungen zu Wirkungsweise und Wesensart, Archaologie &amp; Gesch. 8 (Heidelberg, 1999): PL.5.1 (A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/C584D699-FD3D-483C-80A8-3034A3B2F718";21337;"ATHENIAN";"RED-FIGURE";"";"LEKYTHOS, SQUAT";"SICILY, SELINUS, MANICALUNGA";"-450 to -400";"";"";"BD: EROS FLYING, PLANT";"Palermo, Mormino Collection: 2900 |";"Giudice, F., Tusa, S. and Tusa, V., La collezione archeologica del Banco di Sicilia (Palermo, 1992): II, 194, E138";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/A9C5BD53-CA34-4C4E-B8E0-9D29CD1DB9E8";9037044;"CORINTHIAN";"";"";"SKYPHOS FRAGMENT";"";"";"";"";"";"Heidelberg, Ruprecht-Karls-Universitat: 155";"Corpus Vasorum Antiquorum: HEIDELBERG, UNIVERSITAT 3, 74, PL.(1321) 127.6 <a target=_blank href=browseCVARecord.asp?id={A9C5BD53-CA34-4C4E-B8E0-9D29CD1DB9E8}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/F065F256-FD62-43E7-BB4A-49F9E1943CDA";28420;"ATHENIAN";"BLACK-FIGURE";"";"KRATER FRAGMENT";"SWITZERLAND, CHATILLON SUR GLANE";"-525 to -475";"";"";"HORSE (CHARIOT ?)";"Fribourg, Musee d'art et d'histoire |";"Dietrich-Weibel, B., Luscher, G., and Kilka, T., Posieux/Chatillon-sur-Glane, Keramik, 6.-5.Jh. v. Chr. (Freiburg, 1998): 131, 196.G1 (INCLUDING DRAWING) | Germania: 53 (1975) 81, FIG.2 (DRAWING), PL.23.2";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6BE0BE63-C163-4D88-80CC-01A0392D0A86";30251;"ATHENIAN";"RED-FIGURE";"WHITE GROUND";"LEKYTHOS";"ATHENS";"-450 to -400";"";"";"BD: FUNERARY, CHARON WITH POLE IN BOAT, WOMEN, ONE WITH ALABASTRON AND BOX, EIDOLA";"Berlin, Antikensammlung: 3137 | Berlin, Schloss Charlottenburg: 3137";"Corpus Vasorum Antiquorum: BERLIN, ANTIKENMUSEUM 8, 31,32,33, BEILAGE 9.2, PLS.(3059,3064) 18.1-6, 23.5 <a target=_blank href=browseCVARecord.asp?id={6BE0BE63-C163-4D88-80CC-01A0392D0A86}&startRef=>View Whole CVA Plates</a> | Giudice E., Il tymbos, la stele e la barca di Caronte: L'Immaginario della morte sulle lekythoi funerarie a fondo bianco (Rome, 2015): 62, FIG.8 (BD) | Heilmeyer, W-D., et al., Antikenmuseum Berlin, Die ausgestellten Werke (Berlin, 1988): 140, NO.4 (PART) | Lexicon Iconographicum Mythologiae Classicae: III, PL.169, CHARON I. 9 (PART) | Riezler, W., Weissgrundige attische Lekythen (Munich, 1914): PL. 80";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/7ABD55C7-1073-406F-B267-18A2A7330B32";214874;"ATHENIAN";"RED-FIGURE";"";"KRATER, BELL FRAGMENT";"SYRIA, AL MINA";"-450 to -400";"";"ACADEMY P by BEAZLEY";"A: SYMPOSIUM, MEN RECLINING, LAMPSTAND, TABLE";"Antioch, Museum |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 1125.13";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/FF85CCD6-41AA-4342-8337-F72CDD86197F";2384;"ATHENIAN";"RED-FIGURE";"";"OLPE FRAGMENT";"ITALY, ETRURIA, CERVETERI";"";"";"GOLUCHOW P by ROBERTSON";"BD: SATYR, PLAYING KITHARA";"Bolligen, R. Blatter |";"Archaologischer Anzeiger: 1972, 238, FIG.1";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6A38E9CE-6B55-4495-9200-41F705C1E910";206390;"ATHENIAN";"RED-FIGURE";"";"SKYPHOS FRAGMENT";"ATHENS, ACROPOLIS";"-500 to -450";"";"PAN P by BEAZLEY";"DRAPED MAN WITH LYRE AND DOG";"Athens, National Museum, Acropolis Coll.: 2.467 |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 559.146 | Beazley, J.D., Attische Vasenmaler des rotfigurigen Stils (Tubingen, 1925): 104.58 | Graef, B. &amp; Langlotz, E., Die antiken Vasen von der Akropolis zu Athen, vol.2 (Berlin, 1933): PL.38.467";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/FD41C5E0-ECC0-49FC-86C7-C2FEBE8B1892";44812;"";"";"";"";"";"-525 to -475";"";"";"";"";"MOVED TO RECORD NO.: 351591";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/4E060957-2E4B-47DD-959A-D45348011AA2";9029113;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENTS";"ITALY, MARZABOTTO";"";"";"";"DRAPED MAN";"Marzabotto, Museo Nazionale Etrusco Pompeo Aria: 344 |";"Baldoni, V., La ceramica attica dagli scavi ottocenteschi di Marzabotto (Bologna, 2009): 172, NO.298, FIGS.437-438, PL.17.298 (INCLUDING PROFILE)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/0292D718-20CD-4A70-981E-698AF93A373E";9030768;"ATHENIAN";"BLACK-FIGURE";"";"SKYPHOS";"RUSSIA, SOUTH, OLBIA";"";"";"TUBINGEN 2236, P OF by PETRAKOVA";"A,B: SWAN BETWEEN HENS";"St. Petersburg, State Hermitage Museum: O1914.42 |";"Corpus Vasorum Antiquorum: ST. PETERSBURG, STATE HERMITAGE MUSEUM 8, 43, FIG.51, PL.(699000) 32.1-6 <a target=_blank href=browseCVARecord.asp?id={0292D718-20CD-4A70-981E-698AF93A373E}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/34E8AA18-0133-4E1C-B657-50EA35E4FF55";9011240;"CYPRIOT, IRON AGE";"";"";"BOWL";"";"";"";"";"";"London, British Museum: C753 |";"Corpus Vasorum Antiquorum: LONDON, BRITISH MUSEUM 2, IICC.15, PL.(61) 17.18 <a target=_blank href=browseCVARecord.asp?id={34E8AA18-0133-4E1C-B657-50EA35E4FF55}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/E5844227-CB48-4859-91AD-2ADE6A2BFD1F";9014326;"EAST GREEK";"";"";"FIGURE VASE";"";"";"";"";"";"Copenhagen, National Museum: 7305 |";"Corpus Vasorum Antiquorum: COPENHAGEN, NATIONAL MUSEUM 2, 61, PL.(82) 81.10 <a target=_blank href=browseCVARecord.asp?id={E5844227-CB48-4859-91AD-2ADE6A2BFD1F}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/8BE55EBF-525C-42B7-8ED4-3A79DAD75132";1004053;"ETRUSCAN";"BLACK-FIGURE";"";"CUP FRAGMENT";"";"";"";"";"";"Heidelberg, Ruprecht-Karls-Universitat: E45 |";"Corpus Vasorum Antiquorum: HEIDELBERG, UNIVERSITAT 2, 26, PL.(1098) 63.5 <a target=_blank href=browseCVARecord.asp?id={8BE55EBF-525C-42B7-8ED4-3A79DAD75132}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/FFBCEFC1-F6E4-4652-8962-579735C23755";13683;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"";"-550 to -500";"";"";"BD: MEN CARRYING NECK AMPHORA ON POLE BETWEEN THEM, LEAF PAINTED ON AMPHORA";"Munster, Wilhelms-Univ., Archaologisches Mus.: 854 | Germany, private";"Boreas: 35 (2012), PLS.27.2A-C, 28.2D (PARTS OF BD) | Korzus, B. (ed.), Griechische Vasen aus Westfalischen Sammlungen (Munster, 1984): 44, NO.2";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/C5E0E6FF-CDAD-4185-8BDA-3E9738774666";300037;"ATHENIAN";"BLACK-FIGURE";"";"AMPHORA";"ATTICA";"-625 to -575";"";"NETTOS P by COOK";"A,B: SIREN";"Athens, National Museum: 221 | Athens, National Museum: CC652";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 6 | Beazley, J.D., Paralipomena (Oxford, 1971): 6 | Hofstetter, E., Sirenen im archaischen und klassischen Griechenland (Wurzburg, 1990): PL.7.A4 (A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/C3DE5122-ED9D-49E7-A9AB-A97BA92F82E9";21609;"ATHENIAN";"BLACK-FIGURE";"";"SKYPHOS";"GREECE, BOEOTIA, AKRAIPHIA";"-525 to -475";"";"";"A: YOUTH AND WOMAN | AH: SPHINXES";"";"Praktika tes en Athenais Archaiologikes Hetaireias: 145 (1990) PL.92 B (A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/CD2D06D5-540D-4337-A773-AE2797CE27A1";9023424;"CORINTHIAN";"";"";"SKYPHOS";"";"";"";"";"";"Reading, Reading Museum and Art Gallery: 1953.25.5 |";"Corpus Vasorum Antiquorum: READING, BOROUGH COUNCIL 1, 6, PL.(1133) 4.1 <a target=_blank href=browseCVARecord.asp?id={CD2D06D5-540D-4337-A773-AE2797CE27A1}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6CC36EFA-2CBF-4C8A-8717-60F7AE520448";9015283;"CORINTHIAN";"";"";"PYXIS";"";"";"";"";"";"Heidelberg, Ruprecht-Karls-Universitat: 130 |";"Corpus Vasorum Antiquorum: HEIDELBERG, UNIVERSITAT 1, 32-33, PL.(451) 17.11 <a target=_blank href=browseCVARecord.asp?id={6CC36EFA-2CBF-4C8A-8717-60F7AE520448}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/9FFF0F1E-FBE7-4CD6-AE68-BBDF7EDD09ED";43108;"ATHENIAN";"BLACK-FIGURE";"";"PANATHENAIC AMPHORA FRAGMENT";"ATTICA, ELEUSIS";"";"";"";"WOMAN";"Eleusis, Archaeological Museum |";"Valavanis, P.D., Panathina i koi Amphoreis apo tin Eretria, Symvoli stin Attiki Angeiographia tou 4ou p.Ch.Al. (Athens, 1991): PL.90G (DRAWING)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/02DCDD33-08C9-478B-BD7B-EFA4EBFBD493";1011183;"ITALIOTE";"BLACK GLAZE";"ADDED COLOUR";"OINOCHOE";"";"";"";"";"";"Nantes, Musee Dobree: D863.1.44 |";"Corpus Vasorum Antiquorum: NANTES, MUSEE DOBREE, 85, FIG.15, PL.(1621) 49.4 <a target=_blank href=browseCVARecord.asp?id={02DCDD33-08C9-478B-BD7B-EFA4EBFBD493}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/354565B0-8ACD-4D0F-AB41-C18D929B224C";352479;"ATHENIAN";"RED-FIGURE";"";"AMPHORA, NECK";"";"-500 to -450";"";"BERLIN P by BEAZLEY";"A: APOLLO WITH KITHARA AND PHIALE | B: DRAPED YOUTH WITH STAFF";"Aachen, Dr.P. Ludwig | Basel, Antikenmuseum und Sammlung Ludwig: LU40";"Aachener Kunstblatter: 37 (1968), PL.89 | Acta Iranica: 23 (1984), PL.18, FIG.31 (PART A) | Beazley, J.D., Paralipomena (Oxford, 1971): 344.70 BIS | Carpenter, T.H., with Mannack, T., and Mendonca, M., Beazley Addenda, 2nd edition (Oxford, 1989): 192";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/5D0EDFD9-9272-4F79-A7FE-992CBB5853E5";331370;"ATHENIAN";"BLACK-FIGURE";"WHITE GROUND";"LEKYTHOS";"ATHENS";"-525 to -475";"";"HAIMON P by BEAZLEY";"BD: AMAZONOMACHY, HERAKLES AND AMAZONS, ONE FALLING, SHIELD DEVICE, SNAKE IN RELIEF";"Copenhagen, National Museum: 8014 |";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 548.276 | Corpus Vasorum Antiquorum: COPENHAGEN, NATIONAL MUSEUM 3, 92, PL.(114) 112.8 <a target=_blank href=browseCVARecord.asp?id={5D0EDFD9-9272-4F79-A7FE-992CBB5853E5}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/D330011C-151F-4514-B71E-78A3BDCEBD69";331810;"ATHENIAN";"BLACK-FIGURE";"";"CUP";"THRACE, ELAIOUS";"-550 to -500";"";"LEAFLESS GROUP by BEAZLEY";"A,B: HORSEMAN IN THRACIAN COAT WITH PELTA BETWEEN EYES BETWEEN SATYRS | I: YOUTH RUNNING WITH CLUB";"Paris, Musee du Louvre: EL407 |";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 635.42 | Corpus Vasorum Antiquorum: PARIS, MUSEE DU LOUVRE 10, III.H.E.99, III.H.E.100, PL.(748) 113.7.9-10 <a target=_blank href=browseCVARecord.asp?id={D330011C-151F-4514-B71E-78A3BDCEBD69}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/1DA12397-4291-4B21-891A-4B659BAC4DF5";13933;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENT";"ITALY, ADRIA";"-475 to -425";"";"LEWIS P by RICCIONI";"I: DRAPED YOUTH";"Lost | Adria, Museo Archeologico Nazionale: B569 | Adria, Museo Archeologico Nazionale: B519";"Corpus Vasorum Antiquorum: ADRIA, MUSEO CIVICO 1, III.I.45, PL.(1286) 38.8 <a target=_blank href=browseCVARecord.asp?id={1DA12397-4291-4B21-891A-4B659BAC4DF5}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/62DBAE2F-6782-4AC5-B2BA-90D938E0F047";9007614;"SOUTH ITALIAN, APULIAN";"RED-FIGURE";"";"PELIKE";"";"";"";"";"";"Milan, 'H. A.': T04 |";"Corpus Vasorum Antiquorum: MILANO, COLLEZIONE H A 1, IV.D.AP.19, PL.(2207) 38.2 <a target=_blank href=browseCVARecord.asp?id={62DBAE2F-6782-4AC5-B2BA-90D938E0F047}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/B02DDE53-0EB3-443A-862A-B56C825D5062";9026467;"ATHENIAN";"RED-FIGURE";"";"LEKANIS LID (?) FRAGMENT";"COS, AGORA";"";"";"";"LD: DRAPED FIGURES, WOMEN (?)";"Unknown, excavation |";"Giannikouri, A. (ed.), He Agora sti Mesogeio apo tous Homerikous eos tous Rhomaikous Chronous, The agora in the Mediterranean from Homeric to Roman times, International conference, Kos, 14-17 April 2011 (Athens, 2011): 371, FIG.10 THIRD ROW, FOURTH FROM LEFT";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/D44FB84F-42F6-4FB9-8842-A7BF418692B7";16321;"ATHENIAN";"RED-FIGURE";"";"AMPHORA, NECK";"";"-550 to -500";"Named: PHAYLLOS | PHAULLOS";"EUTHYMIDES by UNKNOWN";"A: ATHLETE, DISKOBOLOS (NAMED, PHAYLLOS) | B: ATHLETE, ACONTIST";"Rome, Mus. Naz. Etrusco di Villa Giulia | Malibu (CA), The J. Paul Getty Museum: 84.AE.63";"Godart, L., and De Caro, S. (eds.), Nostoi, Capolavori Ritrovati, Roma, Palazzo del Quirinale, Galleria di Alessandro VII, 21 dicembre 2007 - 2 marzo 2008 (Rome, 2007): 80-81 (COLOUR OF B) | Hephaistos: 14 (1996) 140, FIG.8 (A) | J. Paul Getty Museum Journal: 13 (1985), 168, NO.17 (A) | Lydakis, S., Ancient Greek Painting and its Echoes in Later Art (Athens, 2002): 93, FIG.72 (COLOUR OF A) | Marchetti, C. (ed.), L'Arma per l'Arte, Archeologia che ritorna (Livorno, 2009): 27 (COLOUR OF B) | Minerva, International Review of Ancient Art and Archaeology: 18.6 (NOVEMBER/DECEMBER 2007) 20, FIG.3 (COLOUR OF A) | Neer, R.T., Style and Politics in Athenian Vase-Painting, The Craft of Democracy, ca.530-460 B.C.E. (Cambridge, 2002): 94, FIG.45 (A) | PHOTOGRAPH(S) IN THE BEAZLEY ARCHIVE: 2 (A, B)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/3340F56C-AEB8-48F1-9BF0-A96522B3E3DE";209870;"ATHENIAN";"RED-FIGURE";"";"CUP STEMLESS";"";"-475 to -425";"";"EUAION P by BEAZLEY";"I: YOUTH WITH STRIGIL (ATHLETE ?), POST";"Oxford, Ashmolean Museum: V304 | Oxford, Ashmolean Museum: 1879.166 | Oxford, Ashmolean Museum: 304";"BEAZLEY NOTEBOOK: 23, 26.2 | BEAZLEY NOTEBOOK: 26, 9.2 | Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 799.9 | Beazley, J.D., Attische Vasenmaler des rotfigurigen Stils (Tubingen, 1925): 353.6 | Corpus Vasorum Antiquorum: OXFORD, ASHMOLEAN MUSEUM 1, 8-9, PLS.(95,139) 3.9, 47.4 <a target=_blank href=browseCVARecord.asp?id={3340F56C-AEB8-48F1-9BF0-A96522B3E3DE}&startRef=>View Whole CVA Plates</a> | Gardner, P., Museum Oxoniense, Catalogue of the Greek Vases in the Ashmolean Museum (Oxford, 1893): PL.22.2";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/998BC9EA-067D-4FAC-BD58-BD93337864BF";1012039;"GREEK";"BLACK GLAZE";"";"UNKNOWN";"";"";"";"";"";"Wilanow, Society of Friends |";"Corpus Vasorum Antiquorum: POLAND, COLLECTIONS DIVERSES, 70, PL.(126) 3.1 <a target=_blank href=browseCVARecord.asp?id={998BC9EA-067D-4FAC-BD58-BD93337864BF}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/33DE1584-20CA-4725-8B0D-FC8FF5F8D616";213459;"ATHENIAN";"RED-FIGURE";"";"STAMNOS FRAGMENT";"";"-475 to -425";"";"POLYGNOTOS by BEAZLEY";"FIGURE WITH SCEPTRE, WOMAN";"Paris, Musee du Louvre: CP11085 |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 1034.1";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6567F98A-287A-416B-A686-BB08354C3CD7";310166;"ATHENIAN";"BLACK-FIGURE";"";"FRAGMENT";"ATHENS, CERAMICUS";"-575 to -525";"";"LYDOS by RUMPF";"BD: VALEDICTION, YOUTH AND DRAPED MAN (?) | SH: HORSE (?)";"Athens, Ceramicus |";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 109.20 | Carpenter, T.H., with Mannack, T., and Mendonca, M., Beazley Addenda, 2nd edition (Oxford, 1989): 30";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/47781F6F-DF43-4CF9-93C7-A1ABC678B1D3";1002316;"ETRUSCAN";"BLACK-FIGURE";"";"OINOCHOE";"";"";"";"";"";"Vienna, Matsch |";"Corpus Vasorum Antiquorum: WIEN, UNIVERSITAT UND PROFESSOR FRANZ V. MATSCH, 30, PL.(247) 21.4 <a target=_blank href=browseCVARecord.asp?id={47781F6F-DF43-4CF9-93C7-A1ABC678B1D3}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
